Edge,Label
"(236, 186)",1
"(236, 84)",1
"(236, 62)",1
"(236, 142)",1
"(236, 252)",0
"(236, 169)",1
"(236, 280)",1
"(236, 257)",1
"(236, 297)",1
"(236, 303)",1
"(236, 105)",1
"(236, 276)",1
"(236, 272)",0
"(236, 88)",0
"(236, 271)",1
"(236, 13)",0
"(236, 69)",1
"(236, 133)",1
"(236, 30)",0
"(236, 121)",1
"(236, 21)",1
"(236, 26)",1
"(236, 304)",1
"(236, 122)",1
"(236, 224)",1
"(236, 314)",1
"(236, 315)",1
"(236, 213)",1
"(236, 67)",1
"(236, 318)",1
"(236, 322)",1
"(236, 141)",1
"(236, 25)",1
"(236, 1)",1
"(236, 200)",1
"(236, 248)",1
"(186, 88)",0
"(186, 213)",1
"(186, 341)",1
"(186, 272)",0
"(186, 25)",1
"(186, 109)",1
"(186, 55)",1
"(186, 199)",0
"(186, 223)",0
"(186, 178)",0
"(186, 345)",1
"(186, 9)",1
"(186, 277)",1
"(186, 325)",1
"(186, 67)",1
"(186, 59)",0
"(186, 123)",1
"(186, 203)",0
"(186, 45)",1
"(186, 104)",1
"(186, 62)",1
"(186, 285)",1
"(186, 200)",1
"(186, 170)",1
"(186, 21)",1
"(186, 128)",1
"(186, 221)",0
"(186, 252)",0
"(186, 239)",0
"(186, 322)",1
"(186, 188)",1
"(186, 323)",1
"(186, 142)",1
"(186, 222)",0
"(186, 56)",1
"(186, 26)",1
"(186, 98)",1
"(186, 331)",0
"(186, 303)",1
"(186, 122)",1
"(186, 113)",0
"(186, 271)",1
"(122, 285)",1
"(122, 322)",1
"(122, 345)",1
"(122, 323)",1
"(122, 200)",1
"(122, 5)",0
"(122, 248)",1
"(122, 141)",1
"(122, 274)",1
"(122, 276)",1
"(122, 284)",0
"(122, 98)",1
"(122, 224)",1
"(122, 142)",1
"(122, 3)",1
"(122, 128)",1
"(122, 119)",1
"(122, 45)",1
"(122, 26)",1
"(122, 56)",1
"(122, 239)",1
"(122, 280)",1
"(122, 123)",1
"(122, 136)",1
"(122, 31)",1
"(122, 169)",1
"(122, 156)",1
"(122, 203)",0
"(122, 261)",1
"(122, 25)",1
"(122, 55)",1
"(122, 303)",1
"(122, 304)",1
"(122, 213)",1
"(122, 252)",0
"(122, 332)",0
"(122, 104)",1
"(122, 272)",0
"(122, 170)",1
"(122, 325)",1
"(122, 342)",1
"(122, 161)",0
"(122, 344)",1
"(122, 235)",0
"(122, 188)",1
"(122, 271)",1
"(122, 62)",1
"(122, 21)",1
"(122, 109)",1
"(122, 277)",1
"(122, 176)",1
"(122, 113)",0
"(122, 297)",1
"(122, 315)",1
"(122, 251)",1
"(122, 9)",1
"(122, 66)",0
"(122, 232)",0
"(122, 67)",1
"(122, 281)",1
"(285, 103)",1
"(285, 232)",0
"(285, 146)",1
"(285, 246)",1
"(285, 188)",1
"(285, 136)",1
"(285, 200)",1
"(285, 271)",1
"(285, 60)",1
"(285, 213)",1
"(285, 98)",1
"(285, 170)",1
"(285, 323)",1
"(285, 208)",1
"(285, 119)",1
"(285, 315)",1
"(285, 313)",0
"(285, 345)",1
"(285, 272)",0
"(285, 142)",1
"(285, 221)",0
"(285, 164)",0
"(285, 117)",1
"(285, 277)",1
"(285, 303)",1
"(285, 203)",0
"(285, 185)",1
"(285, 196)",1
"(285, 211)",0
"(285, 304)",1
"(285, 9)",1
"(285, 109)",1
"(285, 25)",1
"(285, 252)",0
"(285, 56)",1
"(285, 342)",1
"(285, 261)",1
"(285, 10)",1
"(285, 67)",1
"(285, 322)",1
"(285, 113)",0
"(285, 26)",1
"(285, 239)",0
"(285, 332)",0
"(24, 346)",0
"(24, 302)",0
"(24, 53)",0
"(24, 80)",1
"(24, 187)",1
"(24, 249)",1
"(24, 299)",1
"(24, 92)",1
"(24, 266)",1
"(24, 180)",1
"(24, 194)",1
"(24, 94)",1
"(24, 101)",1
"(24, 57)",1
"(24, 242)",0
"(346, 53)",0
"(346, 1)",0
"(346, 92)",0
"(346, 272)",0
"(346, 184)",0
"(346, 194)",0
"(346, 94)",0
"(346, 204)",0
"(346, 299)",0
"(346, 320)",0
"(346, 196)",0
"(346, 101)",0
"(346, 127)",0
"(346, 300)",0
"(346, 187)",0
"(346, 130)",0
"(346, 249)",0
"(346, 254)",0
"(346, 302)",0
"(346, 80)",0
"(346, 57)",0
"(346, 242)",0
"(346, 180)",0
"(346, 330)",0
"(346, 266)",0
"(271, 304)",1
"(271, 169)",1
"(271, 82)",1
"(271, 252)",0
"(271, 188)",1
"(271, 185)",1
"(271, 277)",1
"(271, 98)",1
"(271, 261)",1
"(271, 30)",0
"(271, 232)",0
"(271, 203)",0
