Edge,Label
"(881, 858)",1
"(881, 895)",1
"(881, 879)",1
"(881, 871)",1
"(881, 866)",1
"(881, 870)",1
"(858, 870)",1
"(858, 895)",1
"(858, 871)",1
"(828, 697)",1
"(828, 772)",1
"(828, 810)",1
"(828, 819)",0
"(828, 856)",1
"(828, 880)",1
"(828, 703)",0
"(828, 769)",0
"(828, 830)",1
"(828, 823)",1
"(828, 745)",1
"(828, 800)",1
"(828, 840)",1
"(828, 708)",1
"(828, 774)",1
"(828, 747)",1
"(828, 713)",1
"(828, 719)",1
"(828, 805)",1
"(697, 890)",0
"(697, 830)",1
"(697, 753)",0
"(697, 800)",1
"(697, 823)",1
"(697, 719)",1
"(697, 747)",1
"(697, 819)",0
"(697, 840)",1
"(697, 772)",1
"(697, 745)",1
"(697, 856)",1
"(697, 708)",1
"(697, 713)",1
"(697, 769)",0
"(697, 805)",1
"(884, 864)",1
"(884, 825)",1
"(884, 893)",1
"(864, 856)",1
"(864, 893)",1
"(864, 825)",1
"(856, 869)",0
"(856, 889)",1
"(856, 774)",1
"(856, 747)",1
"(856, 708)",1
"(856, 878)",1
"(856, 772)",1
"(856, 893)",1
"(856, 804)",1
"(856, 825)",1
"(856, 840)",1
"(856, 811)",0
"(856, 729)",1
"(856, 810)",1
"(856, 888)",1
"(856, 863)",1
"(856, 876)",1
"(856, 769)",0
"(856, 753)",1
"(856, 823)",1
"(856, 830)",1
"(856, 800)",1
"(856, 703)",0
"(856, 861)",0
"(856, 882)",1
"(856, 819)",0
"(869, 774)",0
"(869, 769)",0
"(869, 708)",0
"(869, 811)",0
"(869, 890)",0
"(889, 888)",1
"(889, 825)",1
"(889, 886)",1
"(889, 861)",0
"(889, 878)",1
"(889, 753)",1
"(889, 876)",1
"(889, 729)",1
"(889, 882)",1
"(889, 863)",1
"(889, 804)",1
"(872, 873)",1
"(872, 885)",1
"(872, 887)",1
"(872, 867)",1
"(872, 776)",1
"(872, 874)",1
"(873, 874)",1
"(873, 776)",1
"(873, 885)",1
"(873, 867)",1
"(719, 713)",1
"(719, 840)",1
"(719, 819)",0
"(719, 810)",0
"(719, 747)",1
"(719, 772)",0
"(719, 774)",1
"(719, 800)",0
"(719, 823)",1
"(719, 708)",1
"(719, 830)",1
"(719, 805)",0
"(719, 745)",1
"(719, 703)",0
"(713, 819)",0
"(713, 772)",0
"(713, 805)",0
"(713, 823)",1
"(713, 830)",1
"(713, 747)",1
"(713, 708)",1
"(713, 774)",1
"(713, 800)",0
"(713, 810)",0
"(713, 840)",1
"(713, 745)",1
"(861, 863)",0
"(861, 729)",0
"(861, 804)",0
"(861, 888)",0
"(861, 753)",0
"(861, 878)",0
"(861, 876)",0
"(863, 804)",1
"(863, 886)",1
"(863, 729)",1
"(863, 882)",1
"(863, 878)",1
"(863, 876)",1
"(863, 888)",1
"(840, 803)",1
"(840, 823)",1
"(840, 708)",1
"(840, 830)",1
"(840, 819)",0
"(840, 747)",1
"(840, 774)",1
"(840, 805)",1
"(803, 747)",1
"(803, 880)",0
"(745, 805)",1
"(745, 830)",1
"(745, 810)",1
"(745, 747)",1
"(745, 800)",1
"(745, 774)",1
"(745, 823)",1
"(805, 800)",1
"(805, 774)",1
"(805, 772)",1
"(805, 830)",0
"(805, 823)",1
"(805, 703)",0
"(805, 880)",1
"(805, 747)",0
"(805, 819)",0
"(805, 810)",1
"(865, 857)",0
"(865, 868)",1
"(865, 862)",1
"(857, 868)",0
"(857, 871)",0
"(857, 862)",1
"(874, 776)",1
"(874, 867)",1
"(874, 887)",1
"(874, 885)",1
"(708, 823)",1
"(708, 819)",0
"(708, 830)",1
"(708, 753)",0
"(708, 890)",0
"(708, 747)",1
"(708, 774)",1
"(708, 769)",0
"(708, 811)",0
"(708, 800)",1
"(823, 810)",1
"(823, 753)",0
"(823, 819)",0
"(823, 830)",1
"(823, 703)",0
"(823, 747)",1
"(823, 800)",1
"(823, 880)",1
"(823, 774)",1
"(885, 859)",0
"(885, 877)",1
"(885, 776)",1
"(885, 867)",1
"(885, 887)",1
"(870, 871)",1
"(870, 895)",1
"(870, 894)",0
"(870, 879)",1
"(871, 879)",1
"(871, 895)",1
"(888, 729)",1
"(888, 804)",1
"(888, 876)",1
"(888, 878)",1
"(774, 769)",0
"(774, 810)",1
"(774, 800)",1
"(774, 811)",0
"(774, 747)",1
"(774, 819)",0
"(774, 830)",1
"(729, 876)",1
"(729, 882)",1
"(729, 804)",1
"(729, 886)",1
"(729, 753)",1
"(729, 878)",1
"(769, 811)",0
"(769, 753)",0
"(769, 747)",0
"(769, 800)",0
"(769, 890)",0
"(769, 798)",0
"(800, 810)",1
"(800, 830)",0
"(800, 772)",1
"(800, 811)",0
"(800, 747)",0
"(819, 747)",0
"(819, 880)",0
"(819, 753)",0
"(819, 703)",0
"(819, 830)",0
"(876, 886)",1
"(876, 804)",1
"(876, 882)",1
"(876, 878)",1
"(887, 776)",1
"(887, 867)",1
"(895, 866)",1
"(890, 753)",0
"(890, 811)",0
"(810, 747)",0
"(879, 894)",0
"(879, 866)",1
"(753, 747)",0
"(830, 747)",1
"(747, 804)",0
"(747, 703)",0
"(747, 880)",0
"(776, 867)",1
"(776, 877)",1
"(804, 886)",1
"(804, 882)",1
"(804, 878)",1
"(886, 878)",1
"(886, 882)",1
"(867, 877)",1
"(868, 862)",1
"(894, 866)",0
"(880, 703)",0
