Edge,Label
"(3825, 3568)",1
"(3825, 3843)",1
"(3825, 3931)",0
"(3825, 3793)",0
"(3825, 3676)",0
"(3825, 3535)",0
"(3825, 3617)",1
"(3825, 3652)",0
"(3825, 3614)",0
"(3825, 3469)",0
"(3825, 3564)",1
"(3825, 3583)",0
"(3825, 3489)",0
"(3825, 3459)",0
"(3825, 3499)",0
"(3825, 3758)",1
"(3825, 3821)",0
"(3825, 3927)",0
"(3825, 3561)",0
"(3825, 3534)",1
"(3825, 3893)",1
"(3825, 3600)",0
"(3825, 3612)",1
"(3825, 3665)",0
"(3825, 3601)",0
"(3825, 3764)",0
"(3568, 3758)",1
"(3568, 3866)",0
"(3568, 3593)",1
"(3568, 3914)",0
"(3568, 3617)",1
"(3568, 3947)",1
"(3568, 3915)",0
"(3568, 3460)",0
"(3568, 3793)",0
"(3568, 3680)",1
"(3568, 3558)",1
"(3568, 3601)",0
"(3568, 3818)",0
"(3568, 3645)",1
"(3568, 3564)",1
"(3568, 3768)",0
"(3568, 3786)",1
"(3568, 3484)",0
"(3568, 3810)",1
"(3568, 3506)",1
"(3568, 3614)",0
"(3568, 3764)",0
"(3568, 3843)",1
"(3568, 3782)",1
"(3568, 3931)",0
"(3568, 3623)",1
"(3568, 3468)",0
"(3568, 3529)",0
"(3568, 3834)",1
"(3568, 3906)",0
"(3568, 3524)",0
"(3568, 3973)",0
"(3568, 3534)",1
"(3549, 3905)",0
"(3549, 3812)",0
"(3549, 3863)",0
"(3549, 3490)",0
"(3549, 3624)",0
"(3549, 3536)",0
"(3549, 3814)",0
"(3549, 3662)",0
"(3549, 3531)",0
"(3549, 3585)",0
"(3549, 3446)",0
"(3549, 3546)",0
"(3549, 3682)",0
"(3549, 3566)",0
"(3905, 3580)",0
"(3905, 3490)",0
"(3905, 3662)",0
"(3905, 3624)",0
"(3905, 3679)",0
"(3905, 3806)",0
"(3750, 3596)",0
"(3750, 3950)",0
"(3750, 3795)",0
"(3750, 3656)",0
"(3750, 3797)",0
"(3750, 3830)",0
"(3750, 3831)",0
"(3750, 3756)",0
"(3750, 3651)",0
"(3750, 3540)",0
"(3750, 3547)",0
"(3750, 3674)",0
"(3750, 3609)",0
"(3750, 3884)",0
"(3750, 3495)",0
"(3750, 3779)",0
"(3750, 3618)",0
"(3750, 3948)",0
"(3750, 3851)",0
"(3750, 3971)",0
"(3750, 3456)",0
"(3750, 3877)",0
"(3750, 3633)",0
"(3750, 1085)",0
"(3750, 3938)",0
"(3750, 3684)",0
"(3750, 3496)",0
"(3750, 3968)",0
"(3596, 3780)",0
"(3596, 3633)",0
"(3596, 3889)",0
"(3596, 3838)",0
"(3596, 3448)",0
"(3596, 3832)",0
"(3596, 3514)",0
"(3596, 3528)",0
"(3596, 3702)",0
"(3596, 3542)",0
"(3596, 3503)",0
"(3596, 3574)",0
"(3596, 3635)",0
"(3596, 3577)",0
"(3596, 3540)",0
"(3596, 3495)",0
"(3596, 3452)",0
"(3596, 3670)",0
"(3596, 3518)",0
"(3596, 3948)",0
"(3596, 3779)",0
"(3596, 3926)",0
"(3596, 3804)",0
"(3596, 3721)",0
"(3596, 3605)",0
"(3596, 3913)",0
"(3596, 3756)",0
"(3596, 3462)",0
"(3596, 3672)",0
"(3596, 3860)",0
"(3596, 3880)",0
"(3596, 3971)",0
"(3596, 3828)",0
